TimeMs,00:1c:f0:cb:ec:92.APRSSI,00:1c:f0:cb:ec:95.APRSSI,00:19:5b:77:a5:ee.APRSSI
1305189380547,-59,-90,
1305189391118,-80,,
1305189391690,-81,,
1305189399768,,,
1305189401240,-80,,
1305189402729,-80,,
1305189404131,-84,,
1305189405747,-80,,
1305189407543,-76,,
1305189409194,-71,,
1305189411012,-67,,
1305189412292,-65,,
1305189413746,-64,,
1305189415244,-66,,
1305189417059,-64,,
1305189418315,-65,,
1305189419564,-61,,
1305189420858,-64,,
1305189422112,-65,,
1305189423459,-59,,
1305189424727,-63,,
1305189425974,,,
1305189427236,-62,,
1305189428942,-58,,
1305189430698,-52,,
1305189432530,-59,,
1305189434035,-59,-90,
1305189435617,-62,,
1305189437127,-59,,
1305189438621,-63,-87,
1305189440401,-64,,
1305189442178,-75,,
1305189443725,-70,-69,
1305189446092,-73,-64,
1305189447548,,-73,
1305189449282,,-65,
1305189451194,,-59,
1305189451248,,,
1305189451951,,-59,
1305189497788,,-76,
1305189499195,,,
1305189500517,,,
1305189501770,-93,,
1305189503021,,-75,
1305189504259,,-71,
1305189505588,,-74,
1305189506891,,-73,
1305189508100,,-74,
1305189509445,,-76,
1305189510702,,,
1305189511928,,-66,
1305189513187,,-61,
1305189514464,,-68,
1305189515698,-90,-49,
1305189516983,,-58,
1305189518201,,-57,
1305189519449,-87,-60,
1305189520718,,-74,
1305189521962,,-82,
1305189523234,-84,,
1305189524460,-81,-75,
1305189525692,,-77,
1305189526961,,-75,
1305189528187,-76,-75,
1305189529480,,-74,
1305189530711,-56,-86,
1305189531979,-75,-78,
1305189533342,-58,-86,
1305189534706,-65,,
1305189536240,-61,,
1305189537967,-57,,
1305189539402,-64,,
1305189540819,-57,-92,
1305189542185,-74,,
1305189543939,-72,,
1305189545708,-73,,
1305189547578,-74,,
1305189549385,-73,,
1305189551051,,,
1305189552723,-74,,
1305189554483,-76,,
1305189556129,-84,,
1305189557612,-84,,
1305189558062,,,
1305189558733,-80,,
1305189575211,-63,,
1305189585767,-70,,
1305189596296,-61,,
1305189606940,-90,-70,
1305189617587,-93,-66,
1305189618885,,,
1305189620113,,-71,
1305189621312,,-70,
1305189622523,,-63,
1305189623751,,-74,
1305189625038,,-73,
1305189626314,,-74,
1305189627582,,-76,
1305189628809,,-82,
1305189630057,,-80,
1305189631308,,-76,
1305189632602,,-79,
1305189633798,,-76,
1305189635120,,-81,
1305189636612,,-82,
1305189638004,,-77,
1305189639284,,-79,
1305189640671,,-78,
1305189641873,,,
1305189643157,,-74,
1305189644390,,-73,
1305189645679,,-80,
1305189646932,,-73,
1305189648343,,-71,
1305189649624,,-70,
1305189650938,,-72,
1305189652146,,-69,
1305189653360,,-65,
1305189654622,,-59,
1305189655828,,-57,
1305189657066,,-54,
1305189658389,-93,-67,
1305189659626,-88,-75,
1305189660822,,-69,
1305189662111,-85,-73,
1305189663371,-84,-76,
1305189664656,-84,-85,
1305189665894,-94,-79,
1305189667172,-86,-81,
1305189668452,-81,-80,
1305189669782,-67,-77,
